simp_word,trad_word,freq,pinyin
凡事预则立,凡事預則立,398,fan shi yu ze li
悠然见南山,悠然見南山,371,you ran jian nan shan
采菊东篱下,採菊東籬下,367,cai ju dong li xia
千树万树梨花开,千樹萬樹梨花開,361,qian shu wan shu li hua kai
但愿人长久,但願人長久,358,dan yuan ren chang jiu
刑不上大夫,刑不上大夫,351,xing bu shang dai fu
任尔东西南北风,任爾東西南北風,347,ren er dong xi nan bei feng
海上生明月,海上生明月,344,hai shang sheng ming yue
安得广厦千万间,安得廣廈千萬間,340,an de guang sha qian wan jian
不到长城非好汉,不到長城非好漢,329,bu dao chang cheng fei hao han
大庇天下寒士俱欢颜,大庇天下寒士俱歡顏,325,da bi tian xia han shi ju huan yan
问渠哪得清如许,問渠哪得清如許,325,wen qu na de qing ru xu
司马昭之心,司馬昭之心,324,si ma zhao zhi xin
威武不能屈,威武不能屈,318,wei wu bu neng qu
腹有诗书气自华,腹有詩書氣自華,313,fu you shi shu qi zi hua
天高任鸟飞,天高任鳥飛,310,tian gao ren niao fei
众里寻他千百度,衆裏尋他千百度,310,zhong li xun ta qian bai du
除非己莫为,除非己莫爲,308,chu fei ji mo wei
吾将上下而求索,吾將上下而求索,306,wu jiang shang xia er qiu suo
潮平两岸阔,潮平兩岸闊,305,chao ping liang an kuo
必固其根本,必固其根本,304,bi gu qi gen ben
仓廪实而知礼节,倉廩實而知禮節,303,cang lin shi er zhi li jie
不畏浮云遮望眼,不畏浮雲遮望眼,302,bu wei fu yun zhe wang yan
多行不义必自毙,多行不義必自斃,301,duo xing bu yi bi zi bi
映日荷花别样红,映日荷花別樣紅,299,ying ri he hua bie yang hong
风正一帆悬,風正一帆懸,299,feng zheng yi fan xuan
恰同学少年,恰同學少年,295,qia tong xue shao nian
由奢入俭难,由奢入儉難,292,you she ru jian nan
宜疏不宜堵,宜疏不宜堵,285,yi shu bu yi du
接天莲叶无穷碧,接天蓮葉無窮碧,285,jie tian lian ye wu qiong bi
谁知盘中餐,誰知盤中餐,284,shui zhi pan zhong can
达则兼济天下,達則兼濟天下,282,da ze jian ji tian xia
富贵不能淫,富貴不能淫,281,fu gui bu neng yin
东边日出西边雨,東邊日出西邊雨,278,dong bian ri chu xi bian yu
贫贱不能移,貧賤不能移,276,pin jian bu neng yi
路遥知马力,路遙知馬力,275,lu yao zhi ma li
一万年太久,一萬年太久,271,yi wan nian tai jiu
海阔凭鱼跃,海闊憑魚躍,270,hai kuo ping yu yue
温故而知新,溫故而知新,269,wen gu er zhi xin
海内存知己,海內存知己,267,hai nei cun zhi ji
礼轻情意重,禮輕情意重,267,li qing qing yi zhong
随风潜入夜,隨風潛入夜,265,sui feng qian ru ye
千里共婵娟,千里共嬋娟,263,qian li gong chan juan
小荷才露尖尖角,小荷才露尖尖角,262,xiao he cai lu jian jian jiao
纸上得来终觉浅,紙上得來終覺淺,261,zhi shang de lai zhong jue qian
无以至千里,無以至千里,261,wu yi zhi qian li
穷则独善其身,窮則獨善其身,260,qiong ze du shan qi shen
轻舟已过万重山,輕舟已過萬重山,259,qing zhou yi guo wan zhong shan
由俭入奢易,由儉入奢易,257,you jian ru she yi
风吹草低见牛羊,風吹草低見牛羊,257,feng chui cao di jian niu yang
日久见人心,日久見人心,257,ri jiu jian ren xin
红军不怕远征难,紅軍不怕遠征難,256,hong jun bu pa yuan zheng nan
年年岁岁花相似,年年歲歲花相似,255,nian nian sui sui hua xiang si
世上无难事,世上無難事,254,shi shang wu nan shi
我自岿然不动,我自巋然不動,252,wo zi kui ran bu dong
举头望明月,舉頭望明月,251,ju tou wang ming yue
山重水复疑无路,山重水複疑無路,248,shan zhong shui fu yi wu lu
报得三春晖,報得三春暉,248,bao de san chun hui
明月几时有,明月幾時有,246,ming yue ji shi you
月是故乡明,月是故鄉明,245,yue shi gu xiang ming
不得其门而入,不得其門而入,245,bu de qi men er ru
横看成岭侧成峰,橫看成嶺側成峯,243,heng kan cheng ling ce cheng feng
欲穷千里目,欲窮千里目,243,yu qiong qian li mu
俯首甘为孺子牛,俯首甘爲孺子牛,243,fu shou gan wei ru zi niu
谁言寸草心,誰言寸草心,242,shui yan cun cao xin
欲流之远者,欲流之遠者,241,yu liu zhi yuan zhe
高峡出平湖,高峽出平湖,238,gao xia chu ping hu
鸡犬之声相闻,雞犬之聲相聞,237,ji quan zhi sheng xiang wen
江山如此多娇,江山如此多嬌,236,jiang shan ru ci duo jiao
夕阳无限好,夕陽無限好,233,xi yang wu xian hao
男儿有泪不轻弹,男兒有淚不輕彈,231,nan er you lei bu qing tan
橘生淮南则为橘,橘生淮南則爲橘,224,ju sheng huai nan ze wei ju
灯火阑珊处,燈火闌珊處,222,deng huo lan shan chu
独在异乡为异客,獨在異鄉爲異客,221,du zai yi xiang wei yi ke
千磨万击还坚劲,千磨萬擊還堅勁,216,qian mo wan ji hai jian jin
必浚其泉源,必浚其泉源,216,bi jun qi quan yuan
赤橙黄绿青蓝紫,赤橙黃綠青藍紫,214,chi cheng huang lv qing lan zi
江山代有才人出,江山代有才人出,214,jiang shan dai you cai ren chu
不识庐山真面目,不識廬山真面目,213,bu shi lu shan zhen mian mu
锄禾日当午,鋤禾日當午,213,chu he ri dang wu
为有牺牲多壮志,爲有犧牲多壯志,208,wei you xi sheng duo zhuang zhi
路上行人欲断魂,路上行人慾斷魂,206,lu shang xing ren yu duan hun
生于淮北则为枳,生於淮北則爲枳,204,sheng yu huai bei ze wei zhi
春蚕到死丝方尽,春蠶到死絲方盡,203,chun can dao si si fang jin
爆竹声中一岁除,爆竹聲中一歲除,203,bao zhu sheng zhong yi sui chu
择其善者而从之,擇其善者而從之,203,ze qi shan zhe er cong zhi
会当凌绝顶,會當凌絕頂,202,hui dang ling jue ding
火树银花不夜天,火樹銀花不夜天,200,huo shu yin hua bu ye tian
绝知此事要躬行,絕知此事要躬行,198,jue zhi ci shi yao gong xing
无以成江海,無以成江海,197,wu yi cheng jiang hai
秋水共长天一色,秋水共長天一色,196,qiu shui gong chang tian yi se
成由勤俭败由奢,成由勤儉敗由奢,195,cheng you qin jian bai you she
只缘身在此山中,只緣身在此山中,194,zhi yuan shen zai ci shan zhong
好雨知时节,好雨知時節,194,hao yu zhi shi jie
青山遮不住,青山遮不住,193,qing shan zhe bu zhu
慈母手中线,慈母手中線,193,ci mu shou zhong xian
君子和而不同,君子和而不同,191,jun zi he er bu tong
衙斋卧听萧萧竹,衙齋臥聽蕭蕭竹,190,ya zhai wo ting xiao xiao zhu
飞流直下三千尺,飛流直下三千尺,188,fei liu zhi xia san qian chi
毕竟东流去,畢竟東流去,187,bi jing dong liu qu
不问苍生问鬼神,不問蒼生問鬼神,187,bu wen cang sheng wen gui shen
春眠不觉晓,春眠不覺曉,187,chun mian bu jue xiao
汗滴禾下土,汗滴禾下土,187,han di he xia tu
学而时习之,學而時習之,185,xue er shi xi zhi
君子坦荡荡,君子坦蕩蕩,185,jun zi tan dang dang
游子身上衣,遊子身上衣,181,you zi shen shang yi
留取丹心照汗青,留取丹心照汗青,181,liu qu dan xin zhao han qing
床前明月光,牀前明月光,181,chuang qian ming yue guang
以及人之老,以及人之老,181,yi ji ren zhi lao
月上柳梢头,月上柳梢頭,180,yue shang liu shao tou
衣食足而知荣辱,衣食足而知榮辱,180,yi shi zu er zhi rong ru
人生自古谁无死,人生自古誰無死,177,ren sheng zi gu shei wu si
东方风来满眼春,東方風來滿眼春,176,dong fang feng lai man yan chun
岁岁年年人不同,歲歲年年人不同,176,sui sui nian nian ren bu tong
落霞与孤鹜齐飞,落霞與孤鶩齊飛,176,luo xia yu gu wu qi fei
家书抵万金,家書抵萬金,176,jia shu di wan jin
己欲达而达人,己欲達而達人,175,ji yu da er da ren
出师未捷身先死,出師未捷身先死,174,chu shi wei jie shen xian si
假作真时真亦假,假作真時真亦假,173,jia zuo zhen shi zhen yi jia
居庙堂之高,居廟堂之高,169,ju miao tang zhi gao
可望不可即,可望不可即,168,ke wang bu ke ji
天将降大任于斯人也,天將降大任於斯人也,168,tian jiang jiang da ren yu si ren ye
不知其可也,不知其可也,168,bu zhi qi ke ye
必先苦其心志,必先苦其心志,167,bi xian ku qi xin zhi
少小离家老大回,少小離家老大回,166,shao xiao li jia lao da hui
位卑未敢忘忧国,位卑未敢忘憂國,161,wei bei wei gan wang you guo
历览前贤国与家,歷覽前賢國與家,160,li lan qian xian guo yu jia
人约黄昏后,人約黃昏後,160,ren yue huang hun hou
虽千万人吾往矣,雖千萬人吾往矣,159,sui qian wan ren wu wang yi
蜡炬成灰泪始干,蠟炬成灰淚始幹,159,la ju cheng hui lei shi gan
王顾左右而言他,王顧左右而言他,159,wang gu zuo you er yan ta
兄弟阋于墙,兄弟鬩於牆,158,xiong di xi yu qiang
天然去雕饰,天然去雕飾,158,tian ran qu diao shi
两岸猿声啼不住,兩岸猿聲啼不住,158,liang an yuan sheng ti bu zhu
擒贼先擒王,擒賊先擒王,156,qin zei xian qin wang
低头思故乡,低頭思故鄉,155,di tou si gu xiang
濯清涟而不妖,濯清漣而不妖,155,zhuo qing lian er bu yao
疾风知劲草,疾風知勁草,154,ji feng zhi jing cao
万里尚为邻,萬里尚爲鄰,153,wan li shang wei lin
人间四月芳菲尽,人間四月芳菲盡,152,ren jian si yue fang fei jin
踏破铁鞋无觅处,踏破鐵鞋無覓處,151,ta po tie xie wu mi chu
一桥飞架南北,一橋飛架南北,150,yi qiao fei jia nan bei
烟花三月下扬州,煙花三月下揚州,148,yan hua san yue xia yang zhou
不带走一片云彩,不帶走一片雲彩,147,bu dai zou yi pian yun cai
可以正衣冠,可以正衣冠,147,ke yi zheng yi guan
乱云飞渡仍从容,亂雲飛渡仍從容,146,luan yun fei du reng cong rong
数风流人物,數風流人物,145,shu feng liu ren wu
最忆是杭州,最憶是杭州,144,zui yi shi hang zhou
人老心不老,人老心不老,144,ren lao xin bu lao
衣带渐宽终不悔,衣帶漸寬終不悔,144,yi dai jian kuan zhong bu hui
为伊消得人憔悴,爲伊消得人憔悴,143,wei yi xiao de ren qiao cui
宜将剩勇追穷寇,宜將剩勇追窮寇,143,yi jiang sheng yong zhui qiong kou
以百姓心为心,以百姓心爲心,142,yi bai xing xin wei xin
远近高低各不同,遠近高低各不同,142,yuan jin gao di ge bu tong
相知无远近,相知無遠近,142,xiang zhi wu yuan jin
四十而不惑,四十而不惑,141,si shi er bu huo
非宁静无以致远,非寧靜無以致遠,140,fei ning jing wu yi zhi yuan
水至清则无鱼,水至清則無魚,140,shui zhi qing ze wu yu
贫贱夫妻百事哀,貧賤夫妻百事哀,140,pin jian fu qi bai shi ai
少壮不努力,少壯不努力,139,shao zhuang bu nu li
大珠小珠落玉盘,大珠小珠落玉盤,139,da zhu xiao zhu luo yu pan
人生若只如初见,人生若只如初見,139,ren sheng ruo zhi ru chu jian
把酒问青天,把酒問青天,138,ba jiu wen qing tian
逝者如斯夫,逝者如斯夫,138,shi zhe ru si fu
旧时王谢堂前燕,舊時王謝堂前燕,138,jiu shi wang xie tang qian yan
一日之计在于晨,一日之計在於晨,138,yi ri zhi ji zai yu chen
当春乃发生,當春乃發生,138,dang chun nai fa sheng
沉舟侧畔千帆过,沉舟側畔千帆過,137,chen zhou ce pan qian fan guo
问渠那得清如许,問渠那得清如許,137,wen qu na de qing ru xu
胜似闲庭信步,勝似閒庭信步,137,sheng si xian ting xin bu
病树前头万木春,病樹前頭萬木春,136,bing shu qian tou wan mu chun
问君能有几多愁,問君能有幾多愁,136,wen jun neng you ji duo chou
春风得意马蹄疾,春風得意馬蹄疾,136,chun feng de yi ma ti ji
天生我材必有用,天生我材必有用,135,tian sheng wo cai bi you yong
一片冰心在玉壶,一片冰心在玉壺,135,yi pian bing xin zai yu hu
见不善如探汤,見不善如探湯,134,jian bu shan ru tan tang
为赋新词强说愁,爲賦新詞強說愁,134,wei fu xin ci qiang shuo chou
人生七十古来稀,人生七十古來稀,134,ren sheng qi shi gu lai xi
心有灵犀一点通,心有靈犀一點通,134,xin you ling xi yi dian tong
敢叫日月换新天,敢叫日月換新天,134,gan jiao ri yue huan xin tian
厚积而薄发,厚積而薄發,134,hou ji er bao fa
有恒产者有恒心,有恆產者有恆心,133,you heng chan zhe you heng xin
春风送暖入屠苏,春風送暖入屠蘇,132,chun feng song nuan ru tu su
名不正则言不顺,名不正則言不順,132,ming bu zheng ze yan bu shun
五十而知天命,五十而知天命,130,wu shi er zhi tian ming
男女授受不亲,男女授受不親,130,nan nv shou shou bu qin
万水千山只等闲,萬水千山只等閒,129,wan shui qian shan zhi deng xian
黄河之水天上来,黃河之水天上來,128,huang he zhi shui tian shang lai
见善如不及,見善如不及,127,jian shan ru bu ji
有缘千里来相会,有緣千里來相會,127,you yuan qian li lai xiang hui
曾经沧海难为水,曾經滄海難爲水,127,ceng jing cang hai nan wei shui
举杯邀明月,舉杯邀明月,127,ju bei yao ming yue
月有阴晴圆缺,月有陰晴圓缺,126,yue you yin qing yuan que
到中流击水,到中流擊水,126,dao zhong liu ji shui
风雪夜归人,風雪夜歸人,126,feng xue ye gui ren
门前冷落车马稀,門前冷落車馬稀,125,men qian leng luo che ma xi
可上九天揽月,可上九天攬月,124,ke shang jiu tian lan yue
国以民为本,國以民爲本,124,guo yi min wei ben
路有冻死骨,路有凍死骨,123,lu you dong si gu
人逢喜事精神爽,人逢喜事精神爽,122,ren feng xi shi jing shen shuang
人间万事出艰辛,人間萬事出艱辛,122,ren jian wan shi chu jian xin
那人却在灯火阑珊处,那人卻在燈火闌珊處,121,na ren que zai deng huo lan shan chu
无官一身轻,無官一身輕,121,wu guan yi shen qing
朱门酒肉臭,朱門酒肉臭,121,zhu men jiu rou chou
莫道君行早,莫道君行早,121,mo dao jun xing zao
虽九死其犹未悔,雖九死其猶未悔,121,sui jiu si qi you wei hui
人生不如意,人生不如意,121,ren sheng bu ru yi
良药苦口利于病,良藥苦口利於病,121,liang yao ku kou li yu bing
祸患常积于忽微,禍患常積於忽微,119,huo huan chang ji yu hu wei
大漠孤烟直,大漠孤煙直,119,da mo gu yan zhi
不破楼兰终不还,不破樓蘭終不還,118,bu po lou lan zhong bu hai
木受绳则直,木受繩則直,118,mu shou sheng ze zhi
唤起工农千百万,喚起工農千百萬,118,huan qi gong nong qian bai wan
葡萄美酒夜光杯,葡萄美酒夜光杯,117,pu tao mei jiu ye guang bei
非淡泊无以明志,非淡泊無以明志,117,fei dan bo wu yi ming zhi
一寸光阴一寸金,一寸光陰一寸金,117,yi cun guang yin yi cun jin
长河落日圆,長河落日圓,117,chang he luo ri yuan
霜叶红于二月花,霜葉紅於二月花,117,shuang ye hong yu er yue hua
横眉冷对千夫指,橫眉冷對千夫指,117,heng mei leng dui qian fu zhi
此时无声胜有声,此時無聲勝有聲,116,ci shi wu sheng sheng you sheng
无限风光在险峰,無限風光在險峯,116,wu xian feng guang zai xian feng
哀民生之多艰,哀民生之多艱,115,ai min sheng zhi duo jian
必有我师焉,必有我師焉,115,bi you wo shi yan
清水出芙蓉,清水出芙蓉,115,qing shui chu fu rong
花无百日红,花無百日紅,114,hua wu bai ri hong
环球同此凉热,環球同此涼熱,114,huan qiu tong ci liang re
八千里路云和月,八千里路雲和月,113,ba qian li lu yun he yue
可下五洋捉鳖,可下五洋捉鱉,113,ke xia wu yang zhuo bie
百万雄师过大江,百萬雄師過大江,113,bai wan xiong shi guo da jiang
以及人之幼,以及人之幼,111,yi ji ren zhi you
老夫聊发少年狂,老夫聊發少年狂,111,lao fu liao fa shao nian kuang
人面桃花相映红,人面桃花相映紅,111,ren mian tao hua xiang ying hong
洛阳亲友如相问,洛陽親友如相問,111,luo yang qin you ru xiang wen
金就砺则利,金就礪則利,111,jin jiu li ze li
下笔如有神,下筆如有神,110,xia bi ru you shen
万紫千红总是春,萬紫千紅總是春,109,wan zi qian hong zong shi chun
壮观天下无,壯觀天下無,109,zhuang guan tian xia wu
老大徒伤悲,老大徒傷悲,109,lao da tu shang bei
为他人作嫁衣裳,爲他人作嫁衣裳,108,wei ta ren zuo jia yi shang
不如退而结网,不如退而結網,107,bu ru tui er jie wang
忠言逆耳利于行,忠言逆耳利於行,107,zhong yan ni er li yu xing
春种一粒粟,春種一粒粟,106,chun zhong yi li su
踏遍青山人未老,踏遍青山人未老,105,ta bian qing shan ren wei lao
不能成方圆,不能成方圓,104,bu neng cheng fang yuan
淡妆浓抹总相宜,淡妝濃抹總相宜,104,dan zhuang nong mo zong xiang yi
莫道桑榆晚,莫道桑榆晚,104,mo dao sang yu wan
民无信不立,民無信不立,104,min wu xin bu li
若要人不知,若要人不知,103,ruo yao ren bu zhi
当惊世界殊,當驚世界殊,103,dang jing shi jie shu
无可奈何花落去,無可奈何花落去,102,wu ke nai he hua luo qu
仕而优则学,仕而優則學,102,shi er you ze xue
总把新桃换旧符,總把新桃換舊符,102,zong ba xin tao huan jiu fu
日啖荔枝三百颗,日啖荔枝三百顆,101,ri dan li zhi san bai ke
往来无白丁,往來無白丁,101,wang lai wu bai ding
长沙马王堆汉墓,長沙馬王堆漢墓,101,chang sha ma wang dui han mu
忧国不谋身,憂國不謀身,100,you guo bu mou shen
通古今之变,通古今之變,100,tong gu jin zhi bian
女为悦己者容,女爲悅己者容,99,nv wei yue ji zhe rong
牧童遥指杏花村,牧童遙指杏花村,99,mu tong yao zhi xing hua cun
十年生死两茫茫,十年生死兩茫茫,99,shi nian sheng si liang mang mang
一骑红尘妃子笑,一騎紅塵妃子笑,99,yi qi hong chen fei zi xiao
借问酒家何处有,借問酒家何處有,99,jie wen jiu jia he chu you
意恐迟迟归,意恐遲遲歸,99,yi kong chi chi gui
清泉石上流,清泉石上流,99,qing quan shi shang liu
雨打风吹去,雨打風吹去,98,yu da feng chui qu
昨夜西风凋碧树,昨夜西風凋碧樹,98,zuo ye xi feng diao bi shu
临行密密缝,臨行密密縫,97,lin xing mi mi feng
南朝四百八十寺,南朝四百八十寺,97,nan chao si bai ba shi si
徒善不足以为政,徒善不足以爲政,96,tu shan bu zu yi wei zheng
国人皆曰可杀,國人皆曰可殺,95,guo ren jie yue ke sha
歌诗合为事而作,歌詩合爲事而作,95,ge shi he wei shi er zuo
重上井冈山,重上井岡山,95,zhong shang jing gang shan
天下无难事,天下無難事,95,tian xia wu nan shi
知之为知之,知之爲知之,94,zhi zhi wei zhi zhi
一行白鹭上青天,一行白鷺上青天,94,yi xing bai lu shang qing tian
于我如浮云,於我如浮雲,94,yu wo ru fu yun
防范胜于救灾,防範勝於救災,94,fang fan sheng yu jiu zai
黑云压城城欲摧,黑雲壓城城欲摧,94,hei yun ya cheng cheng yu cui
只是近黄昏,只是近黃昏,93,zhi shi jin huang hun
望尽天涯路,望盡天涯路,93,wang jin tian ya lu
千里送鹅毛,千里送鵝毛,92,qian li song e mao
虽然在城市,雖然在城市,92,sui ran zai cheng shi
近乡情更怯,近鄉情更怯,91,jin xiang qing geng qie
春风又绿江南岸,春風又綠江南岸,91,chun feng you lv jiang nan an
化作春泥更护花,化作春泥更護花,90,hua zuo chun ni geng hu hua
同是天涯沦落人,同是天涯淪落人,90,tong shi tian ya lun luo ren
人固有一死,人固有一死,90,ren gu you yi si
士为知己者死,士爲知己者死,90,shi wei zhi ji zhe si
八月十八潮,八月十八潮,89,ba yue shi ba chao
旧貌变新颜,舊貌變新顏,89,jiu mao bian xin yan
自信人生二百年,自信人生二百年,89,zi xin ren sheng er bai nian
此事古难全,此事古難全,89,ci shi gu nan quan
相看两不厌,相看兩不厭,89,xiang kan liang bu yan
一年十二月,一年十二月,89,yi nian shi er yue
谈笑有鸿儒,談笑有鴻儒,89,tan xiao you hong ru
处处闻啼鸟,處處聞啼鳥,88,chu chu wen ti niao
花落知多少,花落知多少,88,hua luo zhi duo shao
荆轲刺秦王,荊軻刺秦王,88,jing ke ci qin wang
问苍茫大地,問蒼茫大地,88,wen cang mang da di
众人皆醉我独醒,衆人皆醉我獨醒,87,zhong ren jie zui wo du xing
乡音无改鬓毛衰,鄉音無改鬢毛衰,87,xiang yin wu gai bin mao shuai
来者犹可追,來者猶可追,87,lai zhe you ke zhui
水善利万物而不争,水善利萬物而不爭,87,shui shan li wan wu er bu zheng
弄潮儿向涛头立,弄潮兒向濤頭立,86,nong chao er xiang tao tou li
诸大夫皆曰可杀,諸大夫皆曰可殺,86,zhu dai fu jie yue ke sha
民亦忧其忧,民亦憂其憂,86,min yi you qi you
左右皆曰可杀,左右皆曰可殺,86,zuo you jie yue ke sha
门前冷落鞍马稀,門前冷落鞍馬稀,86,men qian leng luo an ma xi
国人杀之也,國人殺之也,86,guo ren sha zhi ye
决胜千里之外,決勝千里之外,85,jue sheng qian li zhi wai
不管风吹浪打,不管風吹浪打,85,bu guan feng chui lang da
不知为不知,不知爲不知,85,bu zhi wei bu zhi
见贤思齐焉,見賢思齊焉,85,jian xian si qi yan
扶摇直上九万里,扶搖直上九萬里,85,fu yao zhi shang jiu wan li
千里马常有,千里馬常有,84,qian li ma chang you
人穷志不穷,人窮志不窮,84,ren qiong zhi bu qiong
忧民之忧者,憂民之憂者,83,you min zhi you zhe
曲径通幽处,曲徑通幽處,83,qu jing tong you chu
君子之德风,君子之德風,83,jun zi zhi de feng
天翻地覆慨而慷,天翻地覆慨而慷,83,tian fan di fu kai er kang
千里江陵一日还,千里江陵一日還,82,qian li jiang ling yi ri hai
水击三千里,水擊三千里,82,shui ji san qian li
一日看尽长安花,一日看盡長安花,82,yi ri kan jin chang an hua
寂寞空庭春欲晚,寂寞空庭春欲晚,82,ji mo kong ting chun yu wan
不知今夕何夕,不知今夕何夕,82,bu zhi jin xi he xi
亦使后人而复哀后人也,亦使後人而復哀後人也,82,yi shi hou ren er fu ai hou ren ye
云深不知处,雲深不知處,82,yun shen bu zhi chu
往者不可谏,往者不可諫,81,wang zhe bu ke jian
不辞长作岭南人,不辭長作嶺南人,81,bu ci zhang zuo ling nan ren
君子喻于义,君子喻於義,81,jun zi yu yu yi
疑是银河落九天,疑是銀河落九天,81,yi shi yin he luo jiu tian
疑是地上霜,疑是地上霜,81,yi shi di shang shuang
卷起千堆雪,捲起千堆雪,81,juan qi qian dui xue
花重锦官城,花重錦官城,81,hua zhong jin guan cheng
不坠青云之志,不墜青雲之志,81,bu zhui qing yun zhi zhi
小人之德草,小人之德草,81,xiao ren zhi de cao
烽火连三月,烽火連三月,80,feng huo lian san yue
长太息以掩涕兮,長太息以掩涕兮,80,zhang tai xi yi yan ti xi
坐看云起时,坐看雲起時,80,zuo kan yun qi shi
蚍蜉撼大树,蚍蜉撼大樹,80,pi fu han da shu
不义而富且贵,不義而富且貴,80,bu yi er fu qie gui
一岁一枯荣,一歲一枯榮,80,yi sui yi ku rong
人生得意须尽欢,人生得意須盡歡,80,ren sheng de yi xu jin huan
窗含西岭千秋雪,窗含西嶺千秋雪,80,chuang han xi ling qian qiu xue
铁杵磨成针,鐵杵磨成針,80,tie chu mo cheng zhen
不爱红装爱武装,不愛紅裝愛武裝,79,bu ai hong zhuang ai wu zhuang
